E_initial,L_initial,type
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,9.304792143778622,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,8.899921815467769,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,13.23747297914934,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,10.248616401230805,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,14.60883529400378,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,3.983760956289399,double
0.01,9.412020236463658,double
0.01,9.412020236463658,double
0.01,9.412020236463658,double
0.01,9.412020236463658,double
