E_final,E_electrons,L_final,type
1.2999801818757466,"[-1.0810385091184505, -1.0832782976398805]",95.39804649495669,none
0.12118963904686425,"[0.033629791008838436, -1.8871622128115293]",3.4556222083037285,none
1.2859522104299475,"[-1.0693527964181724, -1.0813892517180668]",91.29850326187166,none
1.3005803188233949,"[-1.0807669053708215, -1.0851144274086517]",66.38038044434496,none
1.2720203343411576,"[-1.0617785334734178, -1.0539037637234192]",120.17119084563733,none
1.3009963868714558,"[-1.082524153425882, -1.0842770488841618]",56.06821431118345,none
1.2890032486729455,"[-1.0782779834871916, -1.0799755644157107]",111.59348824969932,none
1.293848652139318,"[-1.075750269855458, -1.0821117669645854]",81.11389655615963,none
1.285762880355555,"[-1.08005689670248, -1.06785210926011]",115.43347148172187,none
1.298251404855011,"[-1.0838348097552022, -1.08059580129114]",87.26747276673733,none
1.2905967760869936,"[-1.074682462235208, -1.0736603101080173]",99.6108576625288,none
1.2989570171246596,"[-1.07999839605239, -1.079996405742658]",83.9598347888644,none
1.2990340934089273,"[-1.0832466564455454, -1.077605445414607]",63.23654908228237,none
1.2818837282630144,"[-1.0685638334096907, -1.069488760380791]",111.97716059170115,none
1.2780380791669637,"[-1.064997089163708, -1.0697618975703065]",113.88503514518692,none
-0.007095856123559455,"[0.15212662184597142, -1.8604367693846837]",28.43502600768365,partial_1e
1.2942513252708898,"[-1.085597220130099, -1.0834443924770447]",91.30246349407552,none
0.2039700850147272,"[0.035800381974722455, -1.974618487056636]",53.05688037090699,none
1.2919910666930121,"[-1.075926506538564, -1.0747389034336734]",116.48620101796999,none
1.299238742856636,"[-1.0798562951266553, -1.0833839352983157]",61.026263370859965,none
1.2465412524667823,"[-1.0474715943160366, -1.0475086793813166]",117.52064241897722,none
1.2969422530584689,"[-1.0831170647480821, -1.0793247769568002]",104.81850680905458,none
1.297793595074437,"[-1.0819688114100885, -1.0815598095634256]",78.47547465428701,none
1.253697686684462,"[-1.0338028580607261, -1.0487646258140555]",106.50307972970786,none
1.2934433731431314,"[-1.0757934267854916, -1.0821567043032414]",122.93452387033723,none
1.2983412497144502,"[-1.0816842130995838, -1.0822854327320388]",65.44620839139178,none
1.2885569693069678,"[-1.070268061418121, -1.0782969576282384]",107.28247945963162,none
1.2802585605010361,"[-1.0782973451010471, -1.0617876476660675]",105.41975393030287,none
0.1375982664243661,"[0.08262258635761566, -1.952725957597446]",44.69947630247825,none
-0.0646224680326416,"[0.11671245011881354, -1.7437123197380666]",32.67999269486982,partial_1e
1.2638327443116402,"[-1.060162458408453, -1.0545727341588393]",101.06703107842011,none
1.2980971243825419,"[-1.0762927484368099, -1.0856757651951359]",107.97504457091621,none
1.2618345353602634,"[-1.0579503641177976, -1.060959440129758]",90.90830028839547,none
1.2925589359689151,"[-1.0735159601637574, -1.0792255134101005]",79.66773712045634,none
0.1728934629116202,"[-1.9746977844454041, 0.0667692368559373]",37.01984164015837,none
1.2304289809042666,"[-1.0440932623678716, -1.0448828948242919]",59.70382451061763,none
1.2994480523580523,"[-1.082886618750569, -1.0802865969748394]",120.79063337181992,none
0.18974206757848638,"[0.04959304686068467, -1.973571410502795]",52.11177119536422,none
1.2780901076389013,"[-1.0609195571899643, -1.0647205399014348]",119.85876905365267,none
1.2756674262206131,"[-1.0625221846764858, -1.0607677951088874]",111.29933506979624,none
1.2858576909239292,"[-1.0654465737628147, -1.0794920980052698]",108.6495183816424,none
1.3008639385477152,"[-1.0841635316651126, -1.0825012953085664]",101.49693861383784,none
1.2941071540104976,"[-1.0748809374105563, -1.0797495141895537]",106.71892411644436,none
1.2995889474754567,"[-1.0805672711421845, -1.083184546714731]",45.381211062896114,none
1.2817687913225546,"[-1.0679533959773608, -1.0714897090838063]",106.59963746309273,none
1.2995621813333795,"[-1.0845539687163865, -1.08172933989889]",65.1668249342076,none
1.2935929313748193,"[-1.0731333608442244, -1.0853306443967305]",61.43033498893452,none
1.2894667681161445,"[-1.0737686391266696, -1.075513656565683]",105.01486092141606,none
1.2937226726478648,"[-1.0772301216561262, -1.0742879551988358]",65.17256853548979,none
1.2982910035369448,"[-1.0834330144300015, -1.0818651854318664]",118.69803576820318,none
1.296959570012866,"[-1.0763143544287532, -1.0827560134591878]",62.87840300375412,none
1.2628595030736107,"[-1.0588465030834184, -1.057584455306064]",73.30466135824645,none
0.11770803361626023,"[-1.9709755735415793, 0.12152004356007107]",56.374668501062864,none
1.2908922036585293,"[-1.0734695563963896, -1.0736230702372995]",84.25841954489364,none
1.290504860351002,"[-1.0852810232891952, -1.073715878858401]",52.57428333602599,none
1.274291446447041,"[-1.0693075152136933, -1.073007519729364]",85.35568469233833,none
1.2944859554662864,"[-1.0775688874441856, -1.0777030557492693]",101.56508459945817,none
1.2953156985178151,"[-1.074182009602617, -1.079867996639402]",78.76808952996102,none
1.297089548332183,"[-1.0816784189811153, -1.0767169781161183]",87.52305187929747,none
1.2934732091268835,"[-1.0776351628016136, -1.080312520202777]",114.44490737722126,none
1.3006039282616464,"[-1.083553635739301, -1.0821387373847644]",69.77673170489214,none
1.2941508055855517,"[-1.0787007150612808, -1.080125606581223]",114.82029097291765,none
1.2795104231308938,"[-1.0651114810519173, -1.0789184116832504]",113.5151621955036,none
-0.5510165723951213,"[-0.7241257851384227, 0.06053581307664384]",26.798834740402995,partial_1e
1.2953837135009834,"[-1.0782913131499665, -1.0747518241803946]",96.07420928590791,none
1.2904364919985083,"[-1.071656280707059, -1.0803026729775422]",65.30377398634336,none
1.3003767983838732,"[-1.0824099096527848, -1.0831888482083998]",74.8259193905288,none
1.280239009860852,"[-1.0662038702361354, -1.0758644778474995]",102.08388703169058,none
