# Element: He, Time interval: 2500.00 a.u.
electron,r_mean,r_std,p_mean,p_std
1,310.4987717520593,219.1332498817204,0.4637551792176873,0.4198154925366186
2,0.6608015091334702,0.452196042158693,1.6994345272042901,0.4053060686558245
atom,E_mean,E_std
total_time,2500.0
component,mean,std
Kinetic,2.401890587042729,1.954329179597764
Electron-Nucleus,-3.88373570356216,1.3819413576843727
Electron-Electron,0.10615770426480299,0.27485108524478036
Heisenberg,0.15157968273164182,0.1346617182448607
Pauli,0.0,0.0
Total Energy,-2.154920664575372,0.3303773732574304
