E_initial,L_initial,type
2.104,126.36368703901461,none
2.104,1.7406604738759388,none
2.104,120.66933144468382,none
2.104,87.7857975128663,none
2.104,160.52209801897007,none
2.104,74.00127829880635,none
2.104,147.49626808592393,none
2.104,107.7677228152236,none
2.104,151.74254222043413,none
2.104,114.60153241476654,none
2.104,129.56060747622934,none
2.104,110.7750159626338,none
2.104,83.51926685087253,none
2.104,147.76985785925825,none
2.104,151.85014431932464,none
2.104,37.94909509300184,none
2.104,120.78332292223054,none
2.104,71.22899548355906,none
2.104,152.5614556791187,none
2.104,80.88030876147013,none
2.104,153.67988238466705,none
2.104,138.19946364662673,none
2.104,105.54836290463135,none
2.104,142.40001767013115,none
2.104,162.74964201350267,none
2.104,85.9459809927886,none
2.104,142.6637437784194,none
2.104,139.5757189403232,none
2.104,57.53693097370388,none
2.104,44.0526067098375,none
2.104,132.5321717439585,none
2.104,142.85072714878905,none
2.104,121.26786506510275,none
2.104,104.33703560961924,none
2.104,49.556146091647584,none
2.104,78.30909527485882,none
2.104,158.82122472070841,none
2.104,71.46555599478644,none
2.104,158.15421657611725,none
2.104,147.42196116104552,none
2.104,144.53043657955317,none
2.104,133.90113143808028,none
2.104,139.25237285773628,none
2.104,59.44455315307839,none
2.104,140.45014185659096,none
2.104,86.3470303277799,none
2.104,81.22432489435363,none
2.104,138.9420063748725,none
2.104,86.86913276029745,none
2.104,156.6509126014992,none
2.104,82.26633505877987,none
2.104,95.36479633240732,none
2.104,74.72293431260293,none
2.104,109.77288728194993,none
2.104,69.9825779870552,none
2.104,113.2162361336251,none
2.104,133.59267875184662,none
2.104,104.35230234781267,none
2.104,114.6347050921237,none
2.104,151.54343912670998,none
2.104,92.52794096912666,none
2.104,152.45074502399294,none
2.104,149.7117488909853,none
2.104,35.70608464356804,none
2.104,125.60978598542337,none
2.104,87.21367251676301,none
2.104,98.01982824360408,none
2.104,134.79597218993416,none
2.104,124.17142746071524,none
2.104,96.32510663636872,none
2.104,124.44856185028709,none
2.104,148.4511036940922,none
2.104,119.04484076497265,none
2.104,116.45028877703189,none
2.104,150.98496247130464,none
2.104,153.38482839960747,none
2.104,94.16962831375803,none
2.104,141.3030844534292,none
2.104,145.45867730124286,none
2.104,115.17903723089906,none
2.104,84.55228281096319,none
2.104,157.22241207271105,none
