electron,r_mean,r_std,p_mean,p_std
1,0.571436470050542,9.102096460257076e-06,1.6685489328252547,2.7108607128295607e-05
2,0.5714347095472678,9.64888020755986e-06,1.668554194382858,2.9642225379936887e-05
atom,E_mean,E_std
total_time,50.0
component,mean,std
Kinetic,2.7844433834240885,6.457327854869402e-05
Electron-Nucleus,-6.9999140279218555,7.82971354998647e-05
Electron-Electron,0.8749892537814966,9.787115400627325e-06
Heisenberg,0.27839835836592874,1.918822819830627e-05
Pauli,0.0,0.0
Total Energy,-3.06208303235034,8.79304888424418e-09
