E_final,E_electrons,L_final,type
1.2285304363177119,"[13.001421565740772, 63222.29573252514]",160.93524229319226,none
1.6668740050062487,"[0.2587129534629391, 2970486013306.679]",179.33151156282128,none
1.2895463221871224,"[8.171218617620818, 0.12121468125026638]",157.14902459299037,none
1.5732159840690425,"[460544745055.36115, 3.9149832622627363]",203.20891375740646,none
1.9012195816174733,"[819699.2566868212, 1500178660533.4492]",115.6404536320495,none
1.027628070764587,"[-0.39284464570821964, 1.4800655459539618]",128.56468407101505,none
1.208341538870773,"[684.7380333376628, 2327.2916328176384]",143.2441845613101,none
1.4350658183582328,"[7.199530935985683, 75406758470.33618]",202.20396888754107,none
1.228120046229694,"[1913.873294767584, 1.9429619710988026]",36.82971616121467,none
1.236723593777936,"[2.699980096317833, 26074.955675795733]",163.619280089946,none
1.2065120900710689,"[4.92717307190062, 789.3440724963099]",130.20485302303857,none
1.533846527432923,"[12093012.065717401, 3141277590325.1284]",134.04310133305296,none
1.2390478643978353,"[17.671654743505226, 227.2535532167763]",190.16482758174573,none
1.0647388664410136,"[-0.2625137498039755, 3.8598269236961467]",133.05294050350267,none
1.1590997079666348,"[22.094200258768993, 2042.0667035979325]",35.68942321930291,none
1.1299258168684199,"[3299.954916213608, 1.7873577832131204]",155.4636119397837,none
1.2226413963047555,"[40.1594525444208, 928.8501668878107]",164.02763309938481,none
1.1693751648701365,"[11.214158079576848, 527.2049079647144]",65.31387329939521,none
1.0392810105440573,"[-0.39266280605294457, 3.147281802879663]",131.52200187099461,none
1.1754540589199762,"[3.5596235746539033, 15785.314808471197]",56.89939989461124,none
1.2272980029606593,"[13.83691136173133, 178.51176546568263]",169.489253196513,none
0.9418244571557021,"[-0.2869388727839448, 2.5242344245488146]",151.82824641075635,none
1.6528847445248627,"[0.2694658630441147, 586479393013.6211]",204.2577949541425,none
1.2017704552847805,"[40.89793021790929, 1332885.584178794]",164.73376781259245,none
1.4405368926593827,"[47.25638533569209, 5729237992709.584]",94.72856586018986,none
1.2028037852023241,"[62.83507773591107, 318.68115328323603]",110.06253228959542,none
1.1885422207353797,"[31.241056070370984, 3.513850010503702]",126.36515516137818,none
1.2589476392473848,"[1840.3592326838893, 4.247728126395135]",111.7650531951785,none
1.988507088528681,"[1054087131842.4143, 32164.186296615953]",21.012254016745448,none
1.2602028553543976,"[39209.297242438195, 0.024502473997563404]",197.96255306765886,none
1.2503388180752573,"[93063.09270842226, 1.1004247966156535]",191.80462450583582,none
1.1737532937430593,"[19.286433288164485, 295.9565080377598]",70.07263811019124,none
1.274499494334443,"[10.70888933084899, 0.09996749998621907]",169.36005813029388,none
1.5530557465296373,"[32.71112097323421, 1297436932276.6]",195.5006852621278,none
1.1655214549259127,"[23.566137340974397, 1277.485364529317]",52.3625048784462,none
1.1835915192383795,"[163.99592626839558, 7595804.331416609]",73.91583116832597,none
1.2182519871680093,"[18.960207641215806, 701.5007429458256]",156.46820485502957,none
1.2397363851988812,"[40.18011162612212, 2201044.688142047]",182.62075872963558,none
1.215308164603175,"[2049.161363144343, 121777.30179131113]",22.110414688732007,none
1.2143497111587467,"[5304.3133831415325, -0.05450696898365987]",198.11231441485035,none
1.5058209939811442,"[160384194472.2588, 3.218665129557284]",107.57057983831169,none
1.2527220994797683,"[24.088035202015195, 1487.14837990729]",206.14274556877632,none
1.251168032954013,"[15.52739193004667, 503.7717353014383]",206.76085567192249,none
1.1457448043849445,"[7169189.664342518, 3.50738836612739]",137.19043915415847,none
0.9657863122762583,"[-0.3978270727986625, 0.9273744492563789]",193.0562619264504,none
1.3627706536175952,"[61.74911987532274, 1679962.5943435223]",161.81302329102428,none
1.2510790888870365,"[60.752120512401994, 42363.645971376165]",202.09746810885386,none
