E_final,E_electrons,L_final,type
2.0129848418686054,"[268751297.24262077, 1.3192160185072375]",17.843513298896212,none
1.9682249701423165,"[18.682638995053075, 824.1962715547583]",143.45098444771727,none
1.993988437013139,"[18941.83119835274, 1.111178849238505]",162.49533010010083,none
2.01809594114841,"[13.440114876763285, 1611.0923707413017]",231.250840413277,none
2.0020188376645174,"[314.55599420102976, 449329.88951541285]",161.57802609239755,none
2.207083901574701,"[50.34517269850418, 4890853753535.396]",83.33878261645899,none
1.7564650810318805,"[-0.44313734938841126, 0.5738932463836063]",125.32092394744745,none
1.9662314390810698,"[33.494878668438226, 8979.277396103926]",143.99298565289206,none
2.0611232342797505,"[0.33114964999503105, 2.254683280073768]",172.72781952823968,none
2.0458569783193963,"[131.60441251153492, 2.1347906788401088]",170.63511207981563,none
2.445003530903307,"[626695051238.7345, 3.4547557785557936]",156.64524935395764,none
2.3801603879108826,"[801315923896.5839, 131985.20728730498]",97.22604210337205,none
2.068875501377773,"[36.52289872544743, 0.5687192995745167]",202.41678588125868,none
2.0277695294612146,"[17.80849182931786, 3.006697040482786]",226.6090402385256,none
2.0828901207451107,"[0.7167726569209937, 1.820462320764424]",882.3471769478415,none
2.103047478612712,"[0.9808176622546703, 0.12884053681145036]",107.15063254021963,none
2.1528708675909907,"[7.4552217400419725, 3.829688863530946]",192.8713523698338,none
1.971644608460449,"[4956828.430965822, 1.9364529813973614]",125.5077560002022,none
1.9510865919709994,"[19.887328922616735, 655.9217761494392]",101.71307044091851,none
2.1207334112893625,"[0.7575048852571489, 1.8545078270849458]",250.50320137355803,none
1.9929398736043766,"[13.959996044406566, 2013.1373497860545]",197.19248855731144,none
1.9730633296033613,"[246.14298217585352, 5543.858997037898]",151.3975009571292,none
1.9681611392728318,"[3969389.714288634, 1.4716809995064644]",114.00536209753194,none
1.8538703067609996,"[-0.444563525183913, 4.097916027448934]",245.5716232919413,none
2.423663815426055,"[1250769949132.6274, 0.4507913448530873]",76.5491752029956,none
2.003695478668768,"[21270.94268611612, 3168611370.834462]",160.93963151079146,none
1.9527703970458796,"[19.492162121275044, 11260.072833897491]",60.96613364421125,none
2.016535979334395,"[31.935368329308893, 2.0259121711794528]",205.21313992797127,none
1.9661507224040244,"[26.215068898972106, 2065.750293018711]",137.22265313880555,none
1.849519408294654,"[-0.288520263308412, 3.1116971190103446]",211.1738475151828,none
2.078110438671124,"[3.029935154622236, 2.4432177244507276]",209.08107046903143,none
2.015028311686112,"[19.35338456420471, 3445.573287784863]",229.2052084648187,none
2.0049605840446936,"[21.300548583643582, 2079.860933247815]",207.6980697313147,none
1.98118744832981,"[17.02155799343207, 1641.4968982149535]",166.31918610108687,none
1.9137100999188026,"[42.751847961974015, 12184.262261145323]",195.51861054411864,none
2.012089451607173,"[1.4048426126400049, 2.884023071461683]",139.40025351845264,none
2.065625389460557,"[14321123.924612481, 4.17666767765331]",210.80848408232526,none
1.9377659819296686,"[26.841945106020194, 1027.0896334675745]",48.42670825335252,none
2.481016500271501,"[0.3071902092121326, 4689835377561.605]",222.714370590611,none
2.0189361822741914,"[18.814608281627674, 778.8162228604923]",235.3486437252492,none
2.3925185003391003,"[570003028047.4327, 2.022133521206208]",222.32383874087304,none
2.0218291453554387,"[28.475560100471466, 13242.521924509088]",240.69341939176022,none
2.5264607427091645,"[1556.3247565118659, 494215623732.5635]",59.07546667057834,none
1.9926339929278416,"[17.563254892803073, 498.7276140459176]",191.1621930603829,none
2.2268322370435127,"[209165789639.54474, 2.1563836986412603]",108.38791063372749,none
1.9408885472390138,"[16.479040102643648, 76.37390133671809]",55.24227181820296,none
2.0966073140329278,"[74.42144856316679, 2.7315089504658543]",145.31849758658063,none
1.9866148225237732,"[18.850127689739583, 823.6067653060704]",174.67251119005394,none
2.5501747055860564,"[879697862672.6716, 3.2259008544727754]",180.5549815362387,none
1.9401604905569063,"[2.3776751240630745, 3921.0928123922663]",20.947284304556227,none
2.3752937288344165,"[1505212601570.3179, 0.6934059146127993]",210.49358717253654,none
1.9136976436946884,"[8.040772504734221, 1.3978812970442431]",140.11220114140102,none
1.9628052310643203,"[15.388517622128807, 680.0960164003347]",124.11221660592523,none
1.9323822992800976,"[38.27448773593528, 53010.784053021845]",22.152903137023685,none
2.3587814264677633,"[1038132044205.0272, 0.2822827329971381]",183.75964696087286,none
2.090174224971819,"[31005.856946082113, 0.7040008298929133]",242.271248354694,none
1.996563376447364,"[19.763661176643883, 886.9006346582067]",200.0599952080748,none
2.88265616100556,"[0.24785482293119954, 439895579576.2411]",252.3402620964214,none
1.8734939219139257,"[10.360048444806667, 3.6329373971221925]",74.08270330024814,none
1.9444960314261877,"[13.890301038020631, 750.7828268182675]",83.16397718079656,none
2.071826187347764,"[5866344049.880291, 0.12342619019885702]",247.12756260206962,none
1.7613977450423535,"[-0.39903443190203697, 3.098593414769994]",179.7659395872696,none
1.9437923121661043,"[9.996899645862815, 425.33475665670284]",72.8722538949432,none
2.0021821667625956,"[43.92381588263542, 219681694.5789111]",181.1122484579884,none
1.9499538803966145,"[-0.06710029247188379, 107992.08984897536]",241.86628042631276,none
2.1770804502781793,"[182120254979.08255, 1.852326933750757]",239.69474999190132,none
2.4302131309879376,"[405871571703.6473, 3.4315250709258427]",184.3916821709949,none
2.0268809440086266,"[19.956075829297024, 8106.451817941483]",252.47055816015074,none
1.8803609424620247,"[16.335530210355934, 2.424058342866622]",142.34581894731753,none
2.0290006083363967,"[0.8682907608573095, 1.5544938561895212]",247.4228416227387,none
2.3813382154880793,"[0.04565556034297846, 3414736940849.219]",240.2698738578825,none
2.010101630798859,"[67.140210406525, 997854362.9874111]",107.4692275360794,none
2.011519990801983,"[13.028126253698222, 298.20145872773827]",217.47037397133127,none
1.988649228535237,"[11.44398842032644, 139.4036272645352]",180.20262626259378,none
2.041780602647189,"[434.43074434449966, 0.15375505294423986]",178.88855942893724,none
1.9618676512441304,"[5.413659403566527, 791.7808824249728]",111.28023172643292,none
2.0108601264181836,"[14.857111108723254, 192.31918272044217]",227.19725102546727,none
2.0151554611881033,"[16.28885011812139, 923.5105879227516]",250.36348103134978,none
2.1999788823384194,"[-0.004561859447613904, 0.4329566460464369]",150.26675400565605,none
2.268749908163117,"[0.6286307602539077, 9597166568.002432]",944.7869008987687,none
2.024383661760394,"[22.857726406012365, 686.4609758967331]",251.23341558896144,none
2.5515718220692882,"[0.13746835110875943, 1093884426031.3135]",226.04670218248023,none
2.0740629524957273,"[1.207734757113781, 3.2882971932410925]",241.86015879621388,none
2.0213735079729593,"[27.293486458779117, 2305.0617014400295]",241.5771976686006,none
2.2066716044893555,"[6.0668897407253475, 0.10964864672951695]",163.00355470180799,none
1.996724385447644,"[15.36451100876247, 7131.166206390139]",164.99032825252579,none
2.426080069809971,"[0.023532936764329715, 594760813961.555]",251.0402617926169,none
2.0042065163064398,"[483550.38395425375, 1291980.4737282894]",70.35844598718434,none
2.434832410385037,"[2.562428765063586, 11989762467052.87]",176.23438644305537,none
3.035556104476914,"[479970471105.94403, 0.32627169705968073]",115.90886479361514,none
2.681363348370061,"[0.2955161462162168, 33264767716300.92]",140.70822224371298,none
1.9356996578229504,"[24.915912392345277, 572.4765427326549]",51.12048061962172,none
2.440437363652622,"[471943697478.5404, 3.7861328194349033]",136.68145906922774,none
2.475998544311604,"[406220383753.6673, 3.5933402775488763]",236.79184325906556,none
2.8987782607561066,"[219391740000.87085, 2.9754953684382217]",65.8639602325176,none
2.011825056729106,"[22.610635718192473, 1721.0974719299102]",223.02641301902014,none
1.990866853027615,"[25.84587940001565, 8878.597796472946]",185.26402464420497,none
2.0531013468699717,"[3.470366971187114, 0.8087565971856401]",242.07015696167184,none
2.0138601209624007,"[35.32456245956871, 16226.235850908022]",219.89899853567013,none
1.7004704912342223,"[-0.7859763060581295, 505729.71154243464]",34.46371422796157,none
