time,r_p,r_e1,r_e2
0.0,3.2489395726951655,0.5714248,0.57143186
0.013357985880725655,3.248725010653533,0.5646213680119061,0.5540948502743612
0.07912664564844335,3.2476682704607858,0.5160971685428177,0.4572388325385575
0.12154894516635248,3.2469863488112463,0.4830693176447151,0.3943662014425146
0.15478934970142297,3.2464518543578844,0.47046638069928637,0.36247523594875736
0.18802975423649346,3.245917209209438,0.4776828382521882,0.3625370786069097
0.22336041860280567,3.24534877522844,0.5047785943037627,0.3943618002894558
0.26842904757862573,3.2446234086103423,0.5549799044617237,0.45521697535264993
0.32966289793347425,3.24363738720071,0.6305278089697127,0.5440274653152593
0.40058670671073365,3.2424946149470757,0.7147158513466756,0.6430428797525477
0.5467977445676659,3.240136209475406,0.8626800460923976,0.8266377155637815
0.7279870782031245,3.2372085522395535,0.9874658711691041,1.0203402395883525
0.8442241605564351,3.235327309209214,1.0084697996692134,1.1289745905066413
0.9442899901677795,3.2337057944471943,0.9417395854573085,1.2146068213923378
0.998933960315693,3.2328195218278455,0.8374541834306517,1.2587395440790852
1.0404573491853029,3.232145670798985,0.6947042008773504,1.2912003960455936
1.0619275158428148,3.2317971174105597,0.5814490722809691,1.3076623077401037
1.0791457000018578,3.231517527169626,0.4543522591365699,1.3207235322455928
1.0884178547068253,3.2313669411392363,0.3624749246661806,1.3277105882708276
1.0948830353984913,3.231261932254427,0.28211743940547784,1.3325650869760335
1.0982599672878153,3.2312070801099697,0.23279901676684683,1.3350955011250885
1.1006584433913884,3.231168119841007,0.19472045219258197,1.3368907022579397
1.1025203007440985,3.2311378754942672,0.16471261012880178,1.3382831482460682
1.1043821580968085,3.2311076304620308,0.13787026831791105,1.3396746635149295
1.1059851883485365,3.231081589409797,0.12268129499012043,1.3408720135252203
1.1075679704938277,3.231055876787089,0.1188819168265298,1.342053593153746
1.1094875944218987,3.2310246914355587,0.12554213658919425,1.3434857638961606
1.1119818432601247,3.230984169898394,0.14035232794640212,1.3453451812913593
1.1153052027962191,3.230930176735241,0.1619097726685966,1.3478200042771606
1.119479653722601,3.23086235319208,0.18982985393599525,1.3509240487251784
1.1305837738596025,3.23068192469644,0.26567158995852974,1.3591541398448819
1.1453757396652298,3.230441536099383,0.36704027149408314,1.370051197906254
1.1635203117478234,3.2301466061268163,0.4904116793857001,1.3833036155833887
1.1946122958649006,3.229641078943838,0.6993172366379894,1.4056898871432373
1.2444950148108345,3.2288296595743007,1.0300375570352083,1.4406769883259527
1.3254586529688426,3.227511716589355,1.5604440616076654,1.4948576565783114
1.4545586290160102,3.225407886198676,2.398263141947662,1.574294794991354
1.6620377440542522,3.2220211396013174,3.7354640004894435,1.680874098797748
1.8743732809856883,3.218548320400393,5.098238869992008,1.7119462411978565
