time,re1_x,re1_y,re1_z,re2_x,re2_y,re2_z,re3_x,re3_y,re3_z,re4_x,re4_y,re4_z,pe1_x,pe1_y,pe1_z,pe2_x,pe2_y,pe2_z,pe3_x,pe3_y,pe3_z,pe4_x,pe4_y,pe4_z,rpbar_x,rpbar_y,rpbar_z,ppbar_x,ppbar_y,ppbar_z
0.0,-0.20470445957631397,0.11165397739744207,-0.10687337601594285,-0.09476916786864877,-0.22114437111061563,0.0889177461908059,0.8263647412570523,0.09901852529720752,0.44918171192825246,0.7900923793849847,0.38026716368200475,-0.35439929294465783,0.1087235867465723,-0.19033042455040663,-3.726795979941439,1.6236343259132573,-2.839187662992281,1.7999690871595335,-0.1712738287376246,0.29983371056849534,-0.9656808395240096,0.5065142612253546,-0.8857401497508843,0.10335440005590801,-10.0,-2.0430336430366642,0.8791904425826738,31.293472563246585,0.0,0.0
2.5025025025025025,-6.902820226187449,-3.3213854247079997,-9.427562538842231,-16.099631959653845,-12.222045366590011,-0.4349097087821906,13.092044032370529,-3.231342969186698,-4.867313184544022,0.0205415180962836,0.8980175838793585,0.29790314790923655,-2.6284660413120506,-1.3841536325309816,-3.832400703329911,-6.370203148579736,-4.907240240854025,-0.14529094423404157,5.024698011455001,-1.3343764778777478,-1.9368927342231759,0.287418227663737,1.5004624575152117,0.414136248011226,-9.952025133668265,-2.043000675209126,0.8792077762725785,31.306075416777162,0.051170720956949675,0.02547332043816873
5.005005005005005,-13.455731874090235,-6.773252649191758,-19.009843168644178,-32.042651540726986,-24.507723858727807,-0.794432093484144,25.65026855921548,-6.564077488356611,-9.704916474633524,-0.517141449497219,0.035616447739145816,0.16795502067093515,-2.6130697789202997,-1.3765022075630302,-3.827179061037618,-6.371118077006833,-4.910203479286266,-0.14255908685735544,5.0143356525386915,-1.3300692124800917,-1.9307239418227937,-2.6817038675770313,0.663221475940818,1.0404769082252363,-9.903970069625188,-2.042905196494098,0.879253196448116,31.376667382331558,0.07131246795287924,0.03106653910127082
7.5075075075075075,-19.989434821940023,-10.214544477918928,-28.584824769542468,-47.98655341391414,-36.795990192028555,-1.1497452027880781,38.19412832867283,-9.89047445192505,-14.533687550160721,-0.6999600782854952,-0.7634989400062847,-0.07120753024937944,-2.609278291740289,-1.374095558489129,-3.8253288585209706,-6.371216336592741,-4.9104961380694325,-0.14153809452574248,5.011185295751852,-1.3285895312872587,-1.9287124941151794,-0.6632550368375107,-0.37311392868468746,0.06386537776601751,-9.855809155411672,-2.042783492687079,0.8792994574015295,31.44453274295224,0.08769762843858263,0.028889604814412898
10.01001001001001,-26.51682481816405,-13.651549384978887,-38.15620526617977,-63.93054426459608,-49.084597724952886,-1.5032282572122042,50.73262046130135,-13.21428921633416,-19.35896520538638,0.5413224525930772,-0.8416469253693825,-0.49025801090588006,-2.6075907011184603,-1.3728736059399929,-3.8241978725805295,-6.37121485149569,-4.910544268081588,-0.14101453697222208,5.009730700794273,-1.327876836417318,-1.9277473526962952,0.33920268240571416,-0.9467537974254946,-0.4645494419322571,-9.807541838869993,-2.0426355203538384,0.8793409756068469,31.516310351619914,0.10539439972995052,0.025041960600727477
12.512512512512512,-33.04101398032277,-17.0861799207116,-47.72525068804458,-79.87449997004619,-61.37325226789303,-1.8556923926892221,63.268354046469014,-16.536753137682908,-24.18239936537778,0.7778940316202716,0.27712036500321663,-0.15312533020540753,-2.606616137582541,-1.3721381069701397,-3.8234288943891763,-6.371193484852331,-4.910545372225701,-0.14069821366109958,5.0088922964752065,-1.3274693842372949,-1.9271846903154135,1.8007312726128069,0.3595971500344495,-0.4568825300776827,-9.759161063446989,-2.042460606743078,0.8793755307967026,31.592104213604564,0.12252017774961327,0.01980565651070613
15.015015015015015,-39.56322285623002,-20.519309699001795,-57.29266919199654,-95.81839913750188,-73.66189480125647,-2.2075100629527915,75.80238453131703,-19.858397644120718,-29.004691392698746,-0.026175779759128312,0.28679063242620634,0.10982721744842856,-2.605972784969595,-1.3716490807868424,-3.8228816932094873,-6.371171278753474,-4.910537369808964,-0.14048732159403315,5.008338411208623,-1.327205423684525,-1.9268137929216913,0.4089076124458094,4.2368868024528155,1.370259532363931,-9.710662869702096,-2.0422605906249323,0.8794011231032136,31.668899316037074,0.13806655886748503,0.013416348294241378
17.51751751751752,-46.08407515512541,-23.95140527615586,-66.8589145636646,-111.76224792223539,-85.95051623374712,-2.558881934717079,88.33524359594928,-23.17948506071777,-33.82619958348142,-0.864807504527937,0.6590927973275901,0.5008993847303114,-2.6055165446997313,-1.3712993975000136,-3.8224812797249172,-6.371153455008659,-4.910528979619882,-0.14033680018031217,5.007943159901994,-1.327017158346518,-1.9265491937241184,-0.4236243356516448,0.6085033362039107,0.34791732726293734,-9.662048743474111,-2.0420380950907417,0.8794163441382421,31.74276181979511,0.15196558404446364,0.006396008224431407
20.02002002002002,-52.6039449188475,-27.38274038291716,-76.42428748719202,-127.70605763294205,-98.2391173012224,-2.909927360471161,100.86725029788842,-26.500163524757042,-38.64713530341328,-0.7366096554442022,-0.7144627955251405,-0.03950505383350467,-2.605179313150523,-1.371034931610009,-3.8221775877482553,-6.371139811815724,-4.910521022699811,-0.1402236721104368,5.007650577129863,-1.326875398308891,-1.926351708737274,-1.1168869869936338,-0.7466326125165477,0.06562682910675023,-9.613324413115917,-2.041793944197313,0.8794210710850723,31.813301384537123,0.16702357745077503,-4.50127844606772e-05
22.52252252252252,-59.12307593947212,-30.81348916447216,-85.98898450254522,-143.64983649590536,-110.52769856010922,-3.2607226977183332,113.39861783326013,-29.820530027005088,-43.467637403076615,0.3677602157758246,-0.5402876225834297,-0.3211002564307384,-2.604920753752856,-1.3708274520417538,-3.821936608701472,-6.371128487525308,-4.91051311945515,-0.14013538647623344,5.007427871856125,-1.326766144822795,-1.926199875522919,0.8335577602759948,-1.8466580666145336,-0.961664641288236,-9.564490312351465,-2.0415243312288136,0.8794165754587351,31.887129148895745,0.18490225465381183,-0.005860852821824536
