electron,r_mean,r_std,p_mean,p_std
1,6026.588307436578,3482.7062400230707,4.819996896076411,0.034401616358928994
2,10056.295719312979,5811.7577069053405,8.04064948024889,0.13628050232668706
3,6906.53205878314,3991.055623463788,5.5202354907617535,0.142208019665345
4,0.9146207556361533,0.3260126823079144,1.9814392196652162,1.0646468817480894
atom,E_mean,E_std
total_time,2500.0
component,mean,std
Kinetic,62.20453420375691,3.605210812748218
Electron-Nucleus,-5.353039124170906,3.458008205335265
Electron-Electron,0.009905904424412078,0.2306443684496864
Heisenberg,0.07248862773697973,0.549085317721376
Pauli,9.866782019384022e-07,3.118589970333094e-05
Total Energy,56.19838360803881,2.277503289443742
