time,r_e1,r_e2,r_e3,p_e1,p_e2,p_e3
0.0,0.571423248,0.571427307,250.080505,1.6685756,1.6685644100000003,0.00381041141
0.05005005005005005,0.5806963639060118,0.5668448662481446,250.08050655307184,1.6670748291220607,1.7072873000616968,0.0038104092507465865
0.1001001001001001,0.6048539255668219,0.5545449111342151,250.08050810766323,1.6222113128372013,1.769636051862334,0.0038104069770720198
0.15015015015015015,0.637742987622766,0.5367799023046822,250.0805096638857,1.5541481961012429,1.8490523898429896,0.003810404502083647
0.2002002002002002,0.6742650667231314,0.5156843476226323,250.0805112219012,1.478678145996628,1.9393773912755612,0.0038104017667182997
0.2502502502502503,0.7109031483004381,0.4932306022675991,250.08051278190499,1.4046382854024293,2.0344575915732466,0.003810398733112922
0.3003003003003003,0.7452616738922617,0.4712920022321744,250.0805143441128,1.3363408183600725,2.127545387683995,0.0038103953798985274
0.3503503503503504,0.7754976630659854,0.45162518440198324,250.0805159087497,1.275990591672499,2.2112240024507335,0.003810391701652285
0.4004004004004004,0.7998846595956417,0.4356563989893136,250.08051747603832,1.2251332125016503,2.2787289927764833,0.003810387711642778
0.45045045045045046,0.8165122039787447,0.4241302994742878,250.08051904618446,1.1854546990082016,2.3265909894691856,0.003810383445107521
0.5005005005005005,0.8230949312858648,0.4169557165697034,250.08052061936164,1.1593212263238553,2.356363272725631,0.003810378959718576
0.5505505505505506,0.816890139183209,0.4135702463258582,250.08052219569632,1.1503590408263866,2.3727005242548405,0.003810374331672672
0.6006006006006006,0.7947635520023645,0.4136999040270614,250.08052377525752,1.1643869784252108,2.3784481878864563,0.003810369649493659
0.6506506506506506,0.7535345351170499,0.41792150024449365,250.0805253580499,1.2111529518509414,2.370901695581162,0.0038103650084775286
0.7007007007007008,0.6910440323316532,0.427512964148403,250.08052694401104,1.3073514581446197,2.342963754894975,0.0038103605053251737
0.7507507507507508,0.6093132865266861,0.44363287556939585,250.0805285330141,1.4790536802171297,2.289025689028987,0.003810356224272963
0.8008008008008008,0.522517134727559,0.46651610577637587,250.08053012488952,1.7439680100693387,2.2102100154935482,0.0038103521926854803
0.8508508508508509,0.4651225537431157,0.49531808347044975,250.0805317194934,2.014968942331192,2.1134797736412976,0.0038103482937856944
0.9009009009009009,0.46513239276982143,0.5284403929082933,250.080533316825,2.0869903444023783,2.00677464311711,0.003810344246771211
0.9509509509509511,0.5056623092670759,0.5639918843844319,250.08053491708617,1.970191919391755,1.8968509400364602,0.0038103397884192355
1.001001001001001,0.5589076788133304,0.6002817699122119,250.0805365206101,1.8027445941639586,1.7890817932172198,0.0038103348075213457
1.0510510510510511,0.6107764239819301,0.6360369184890085,250.08053812776532,1.6470811321518162,1.6868721359135,0.0038103293016053513
1.1011011011011012,0.6548292952814432,0.6703408368747544,250.08053973890202,1.5189047632646555,1.5919556422189203,0.0038103233193743542
1.1511511511511512,0.6862340835168613,0.7024987727666484,250.08054135432576,1.422976860697638,1.50511355077725,0.00381031693940827
1.2012012012012012,0.6991480219362969,0.7319168145910372,250.08054297427768,1.365330212555915,1.42672866208934,0.003810310269143967
1.2512512512512513,0.6859995399187925,0.7580110965764875,250.08054459891224,1.3588019941059537,1.357116478026259,0.0038103034514689405
1.3013013013013013,0.6391463924142192,0.7801546129704553,250.08054622827092,1.4295495658910153,1.2967085234901363,0.003810296667581394
1.3513513513513515,0.5582847774145192,0.7976778760626005,250.08054786226123,1.6234391992350004,1.2461454662233271,0.0038102901140256323
1.4014014014014016,0.46996501501072446,0.8099333889566513,250.08054950067108,1.9582073431446758,1.2061722624799294,0.003810283915102575
1.4514514514514516,0.4358264335796188,0.8162998538884038,250.08055114327254,2.1952127955562797,1.176839578714248,0.003810277971024664
1.5015015015015016,0.4702655813523057,0.8158049342779603,250.08055278998265,2.11106399334181,1.1575141959677777,0.003810272006422193
1.5515515515515517,0.5306165352805484,0.80681688116216,250.0805544408846,1.9072272264862664,1.1495753525511516,0.003810265854480151
1.6016016016016017,0.5920150781617698,0.7874356948075626,250.08055609612018,1.7151174728408456,1.1569099056152319,0.003810259500271048
1.6516516516516517,0.6463043958530788,0.7560359443458522,250.080557755813,1.5589182713553258,1.185164347911091,0.003810253001326929
1.7017017017017018,0.6897236123597433,0.7116345225369131,250.08055942003105,1.4388418656778963,1.2422291889341641,0.003810246459125995
1.7517517517517518,0.7186520841139546,0.6541072230516649,250.08056108875616,1.3539915031561214,1.3400771946804424,0.0038102400212874357
1.8018018018018018,0.7285296711587281,0.5846269660796628,250.08056276185044,1.3072151629756867,1.4978754349041203,0.0038102338827835465
1.8518518518518519,0.7146759969708278,0.5076884635509973,250.0805644390321,1.3064104909532865,1.742201908515446,0.0038102282514558944
1.9019019019019021,0.6757041837247881,0.43727162664163527,250.08056611989844,1.3632934818622164,2.0748744260954357,0.003810223244167316
1.9519519519519521,0.619016052783814,0.401911019520711,250.08056780403462,1.4839113345797441,2.354647620701751,0.003810218767233578
2.002002002002002,0.5620085557897263,0.41882026532178906,250.08056949115624,1.647598477887965,2.3733186805922544,0.0038102145662544528
2.052052052052052,0.5244006257180569,0.46858813198918065,250.08057118115934,1.793752282059376,2.2144809845559643,0.00381021039914565
2.1021021021021022,0.5168705534408501,0.5286429474926165,250.0805728740843,1.8527528620781248,2.0275331116495003,0.0038102060925502565
2.1521521521521523,0.5338765719174494,0.5893703957653595,250.0805745700708,1.8176331179032637,1.8596484235682074,0.003810201533655363
2.2022022022022023,0.561746268149021,0.6477535189862194,250.08057626931546,1.7355902101354757,1.7156805723663906,0.0038101966717827094
