electron,r_mean,r_std,p_mean,p_std
1,0.6820436488997174,0.0957103883288646,1.4116611635358018,0.22297526487007494
2,0.6820554371365892,0.09571526701192853,1.4116388028109437,0.22298047044518102
atom,E_mean,E_std
total_time,50.0
component,mean,std
Kinetic,2.0427528962266526,0.6575501122454799
Electron-Nucleus,-5.987777778560056,0.8852087881056319
Electron-Electron,0.830853832182306,0.1351449798121618
Heisenberg,0.49990669466110843,0.28725804809122246
Pauli,0.0,0.0
Total Energy,-2.614264355489989,8.951346605329236e-05
