E_final,E_electrons,L_final,type
1.532719985764536,"[46.99532300514436, 2239717883383.1514]",116.93464408080911,none
1.25446544236314,"[17.31280207443369, 638.8178269985448]",13.629216174997556,none
1.285628461720315,"[17.605756427420047, 506.61792937937497]",152.60545597896797,none
1.3055003234026048,"[1.3310334123550323, 1481.6614539397112]",191.03347414829554,none
1.3574650114547273,"[3.8876613981850854, 0.12893836299388475]",185.67694126465375,none
1.573740038118955,"[23784.681761130367, 1.3356526630486627]",70.59719464863461,none
1.2611152848098008,"[18.574252491111984, 1226.1237001199268]",76.25764762354976,none
1.0970544727328346,"[0.20153433588749878, 2.861465522410201]",108.78935965170636,none
1.3083570298613956,"[4.510599250017457, 1.1433298019098155]",188.22529669606212,none
1.2263710034696373,"[0.5653658002495972, 2.3018314296189777]",195.8475155059163,none
1.1593879334588277,"[-0.45216313293861765, 0.6068231943088311]",206.26462574035295,none
1.3487340723076233,"[0.43373634275705014, 2.8423246397881003]",249.19253665478777,none
1.331916182545276,"[307872595987.13116, 1.269841036464507]",131.4882567381449,none
1.3016828321226563,"[16.321239074559536, 537.7918356329147]",191.4367332548161,none
1.2778370946912188,"[22.715787443826308, 1086.4488896664782]",129.4788240342226,none
1.4923761892070664,"[63.353255904379985, 0.1253200355263221]",135.92634520491416,none
1.2810740859938183,"[20.44908823469652, 1798.680668297508]",143.66743760570645,none
1.2556009362386638,"[5.172080756797635, 3.6257365987850867]",123.26734563464834,none
1.9890376513151775,"[558399754873.1959, 2.1643229611227603]",83.7988310354457,none
1.3084140930620525,"[3.1608817500837065, 3.596486065352761]",171.42919563248645,none
0.9438665613702417,"[-0.2585889910233218, 2.37071691107197]",132.11408752025767,none
1.7025033725274612,"[153449354890.55502, 3.5097510970127024]",47.09854330362412,none
1.3046145777245728,"[16.934433550586746, 683.668419697337]",198.28527274667653,none
1.2965724409546615,"[20.04993422240945, 2391.419717535542]",174.6690073972698,none
1.2936190696269103,"[18.15096357270656, 1144.0312609035923]",176.71352016945045,none
1.1559658206999754,"[-0.2466515754473492, 3.3573069583326056]",189.00185684211488,none
1.7238010768852114,"[-0.0073935477957909335, 44520718612656.555]",184.55251048654532,none
1.3042635058669536,"[35.61782490957079, 2057.861393719141]",199.7326931972352,none
1.2833548014657472,"[1234333.0628085823, 2.243099268006891]",43.06026902796966,none
1.2943050417227777,"[6.726381275601259, 95.99899985969681]",165.90410442509574,none
1.2202682776646756,"[5.301429217792937, 0.01839228157326318]",121.14887445736316,none
1.6251922471827358,"[0.9846382903779662, 4.111556656496631]",839.9958696163295,none
1.3041610204874445,"[22368.462658211996, 0.7047809406020819]",26.326292272865288,none
1.3685564781084782,"[31131761883.88854, 0.1269538464251057]",193.80116024590404,none
1.3404605890262369,"[16009184338.046013, 0.06705745258438865]",112.02939438610345,none
1.3725316594021144,"[17.67746048016048, 59250.13556253762]",181.27938353059258,none
1.3269554819523819,"[0.21745726876106694, 3.1605153868853564]",140.73045891737422,none
1.3596220813719049,"[4.932557693247048, 2.7521073461238994]",202.0769520598131,none
1.3619645516168808,"[9775893431.117619, 0.3697692879444735]",193.2053061110336,none
1.287539638913599,"[20.517364438321515, 1942.4785892331981]",158.69769401280612,none
1.2792682479025128,"[18.95522195640029, 737.3002278670026]",133.51159551915168,none
1.2568975821082289,"[12.483927510777914, 617.8271422570406]",44.607217812240705,none
1.1523327611935201,"[-0.38697801821178385, 3.340656226715927]",180.0491534307402,none
1.2967796005591026,"[29.085245453323342, 28376.210884028882]",173.40942602323486,none
1.2651791542080448,"[18.068792839353115, 1023.3037790088999]",82.95410313688672,none
1.2646953352615693,"[16.158693392822826, 456.17721706965216]",89.64121603112451,none
1.247666738283148,"[-0.07112369156359508, 0.55446810459449]",200.80923738321832,none
1.3088826570161165,"[19.33823382762108, 742.1041857721968]",207.6810743268923,none
1.192601619393005,"[32.64444283756557, -0.04363224998317139]",131.40252683011002,none
1.2698464359522554,"[33.68723966209226, 1776.536726695188]",106.04201608534096,none
1.376571733003357,"[161.80962503288887, 0.7945287911395037]",200.12537831834578,none
1.6968838776395287,"[1412698410944.9492, 3.572027159152852]",12.855689325148335,none
1.2799895153404528,"[17.23989557920002, 623.3767317022232]",138.21435733313064,none
1.2771361373813104,"[3.999078261009276, 80.45236704830772]",116.95098947110404,none
1.2913065735814862,"[24.71451402942891, 2587.214407767571]",168.43205287224592,none
1.37903848407048,"[2.42281486949946, 27230428661.04952]",196.4957642106216,none
1.3069281869649971,"[14.954334378636293, 497.93040147664743]",205.25487556913035,none
1.2713834042007963,"[21.75567143830871, 1762.280617462479]",111.06055422306929,none
1.6702888149882273,"[467539555513.6583, 3.7493982319745265]",111.41310268404634,none
1.260967298626138,"[26.818233664102035, 6545.0446885117135]",57.371640780896875,none
1.3196071279987138,"[9777461.661213033, 3.0380255490183057]",156.85683775058547,none
1.3550282032409022,"[2350304.9082213584, 3.439416273108761]",152.50023927265988,none
1.266687036710759,"[19.77050553258178, 1082.1102280309995]",90.33038410870182,none
1.3079580596950287,"[33.154934586074454, 1912.2462415218881]",207.17349309884395,none
1.2823236137810405,"[3.593913868681363, 3.8057252019840093]",206.40281322633507,none
1.2764243422845873,"[15.1303340025256, 405.8674802415166]",123.39132607306206,none
1.282246688309771,"[84.61498200171314, 2939.404471812706]",142.29197241223272,none
1.134940616205408,"[-0.59627813469524, 925967.664619862]",206.8599250210756,none
1.2756854470837409,"[13.166810762262205, 321.6586043202609]",123.13315123999956,none
1.2789548497229655,"[16.68814517976782, 558.9506442912398]",130.02119177204204,none
1.2952223857390217,"[25487918535.91323, 0.3552605653673709]",69.2696795757536,none
1.299322995987732,"[15.418843866481271, 476.9627086008846]",186.3093513298237,none
1.1097922298414253,"[-0.45068403607108765, 0.5547193030433727]",111.0167721130597,none
1.257071609572668,"[23.302075849202897, 2659.6657457261317]",26.813498063659335,none
0.8289094243618944,"[-0.25565629405681245, 1.1439341176236035]",39.92824868446857,none
