time,r_e1,r_e2,r_e3,r_e4,p_e1,p_e2,p_e3,p_e4
0.0,1.7469090099999998,0.35858235000000005,0.35858205000000004,1.74691034,0.5493253000000001,2.66239017,2.66239271,0.5493247099999999
0.05005005005005005,1.9057707386633072,0.3010939885081932,1.0567851639368377,1.7221327556033208,1.7436533881549847,5.972497352134462,1.872620264134745,0.561478029736484
0.1001001001001001,1.3042494319463636,0.5609826229808902,1.4887912178287828,1.7247221078226829,2.6010387073564947,5.152798487848801,0.8503257966798828,0.5599292822368915
0.15015015015015015,0.7586166250962413,0.8039029511676511,1.3675298259315873,1.7278190668725766,4.120955048738401,4.851128713009441,2.3397209289542484,0.5622241395752651
0.2002002002002002,0.8313130352227898,1.0333707751252783,1.4570565636462727,1.736613707433153,4.369876996342744,4.696322234248124,2.822105181268104,0.5752334291040512
0.2502502502502503,0.9401623675956053,1.2504333256868876,1.579652840946651,1.7553201119290518,4.29314924147869,4.606219253254151,2.8120665512482472,0.6033258480115653
0.3003003003003003,1.0747428246943715,1.4688099868591287,1.7038120820463087,1.7747812577355158,4.211013489845271,4.5558470419034105,2.793882707887085,0.6233553075718039
0.3503503503503504,1.2260877601589206,1.6925954517383426,1.8289283135909948,1.79044651110542,4.136220522434163,4.524441632249142,2.7733079890404957,0.6275567186677844
0.4004004004004004,1.3882178475556792,1.9173359397479317,1.9546399869114581,1.8043271443594069,4.07225283908609,4.504591516373145,2.752647085609976,0.6265101165576389
0.45045045045045046,1.557360584260843,2.1416219883123193,2.080715381068985,1.8171812178668754,4.018789489564091,4.492694702112255,2.7328457334251914,0.624229321195985
0.5005005005005005,1.7311510803401644,2.3655924874455714,2.2069995430929596,1.8289145562810913,3.974357829151816,4.485651655663786,2.714267202673671,0.6213983067277592
0.5505505505505506,1.9080859960429257,2.589401799852556,2.3333860977624203,1.8394165156304265,3.93734927582984,4.481519891836241,2.6970130665383447,0.6184574367694914
0.6006006006006006,2.087189044302292,2.8131400929733004,2.4598008513276794,1.8486139075211507,3.9063423489515334,4.479151908733811,2.681065430668024,0.6157788628122659
0.6506506506506506,2.2678113885350175,3.0368593661515844,2.586191608934232,1.856459125847118,3.8801691421456734,4.4778678157572,2.6663533652459015,0.6136617514545692
0.7007007007007008,2.449512164025653,3.2605892831867216,2.7125216201990683,1.8629207377544759,3.857897469619438,4.477259554799784,2.652785090755147,0.6123420417964579
0.7507507507507508,2.6319854590141922,3.484346620930747,2.8387650846844066,1.8679770751620681,3.838791090021099,4.477077873002277,2.6402637612205506,0.6120054601001894
0.8008008008008008,2.8150151050834173,3.708140442754389,2.964904151291651,1.8716118032718918,3.8222696678063084,4.47716749282047,2.628695104814838,0.6127987077323537
0.8508508508508509,2.9984457878277815,3.931975288262157,3.090926751378494,1.8738111736361187,3.8078747348640736,4.477429777029062,2.6179909389834446,0.6148380533218933
0.9009009009009009,3.182164308055107,4.155853005858071,3.216825068558023,1.8745624659868871,3.795242410561079,4.477800912227507,2.6080705333306264,0.6182155919862967
0.9509509509509511,3.3660870721884812,4.379773729059409,3.342594444661572,1.8738533610061194,3.7840822009867714,4.478238933224447,2.598860872549552,0.6230038073949722
1.001001001001001,3.550151769103494,4.60373674562762,3.468232538848885,1.8716716831739635,3.774160643013923,4.478715900443672,2.5902963689117575,0.6292590970579228
1.0510510510510511,3.7343114950225935,4.827740760062325,3.593738745147517,1.8680054438013916,3.7652888309327674,4.4792130340275875,2.5823183186313154,0.6370246051107478
1.1011011011011012,3.9185306810065916,5.051784162637939,3.71911374020386,1.8628427066769897,3.757312829216386,4.479717632185468,2.574874267642593,0.6463327775535666
1.1511511511511512,4.102782230156134,5.275865213874543,3.8443591432922464,1.856171197539801,3.750106330062884,4.480221103639018,2.567917362474718,0.6572077673221071
1.2012012012012012,4.2870454251444725,5.499982134166597,3.9694772624493817,1.8479777823276418,3.7435649747294635,4.480717662059843,2.561405733135471,0.6696677825231903
1.2512512512512513,4.471304357089107,5.724133141679455,4.094470901866894,1.8382479308540716,3.737601957610871,4.481203451560549,2.555301925499292,0.6837273740963838
1.3013013013013013,4.6555467906882475,5.948316485347881,4.219343214945799,1.8269652329117119,3.7321446203436994,4.481675971695245,2.549572387697631,0.6993996238885142
1.3513513513513515,4.839763424060001,6.1725305169577025,4.344097590142517,1.8141110378591527,3.7271317477411494,4.4821336715602,2.5441870162332765,0.7166982038084336
1.4014014014014016,5.023947166630582,6.39677366018137,4.468737567084238,1.7996642689600824,3.722511468492645,4.482575668029945,2.539118753430247,0.7356393706238897
1.4514514514514516,5.20809264256784,6.621044409410141,4.593266771958522,1.783601245253282,3.7182395862586963,4.483001552851808,2.534343233358841,0.7562439025198293
1.5015015015015016,5.3921958402796815,6.845341347369554,4.717688865062292,1.7658954864383178,3.714278224389979,4.483411247606506,2.529838472832479,0.778539027745503
1.5515515515515517,5.576253831500419,7.069663141058745,4.84200750578078,1.7465175010914464,3.7105947683654854,4.483804908369556,2.5255846004356863,0.8025602189835781
1.6016016016016017,5.760264550527793,7.294008539607132,4.966226324788968,1.7254345361470815,3.7071609953457436,4.484182852984185,2.5215636190958293,0.8283531490853702
1.6516516516516517,5.9442266079414425,7.518376368937008,5.09034890183151,1.7026102812788495,3.7039523644710775,4.484545507499126,2.5177591981101854,0.8559758208547038
1.7017017017017018,6.128139136836301,7.742765525192965,5.214378748558285,1.6780045218541135,3.7009474417158783,4.484893368022517,2.514156491148637,0.8855008868157602
