E_initial,L_initial,type
0.606,103.59150109046281,none
0.606,1.4269734890053665,none
0.606,98.92333369536718,none
0.606,71.96578979191642,partial_1e
0.606,131.59417457359743,none
0.606,60.66539906531538,none
0.606,120.91574861648907,none
0.606,88.34674293797012,none
0.606,124.39679544206723,none
0.606,93.94902165562496,none
0.606,106.21229979235258,none
0.606,90.81208736293219,none
0.606,68.46813689747403,none
0.606,121.14003437426337,none
0.606,124.48500640841164,none
0.606,31.110232835284584,partial_1e
0.606,99.01678260104,none
0.606,58.3927134148081,none
0.606,125.06813130157032,none
0.606,66.30474932781875,none
0.606,125.98500468507365,none
0.606,113.29433498272945,none
0.606,86.52733714200546,none
0.606,116.73790098577003,none
0.606,133.42028958769507,none
0.606,70.45752931367447,none
0.606,116.95410062408767,none
0.606,114.42257328519128,none
0.606,47.16811599414699,none
0.606,36.113821644115966,partial_1e
0.606,108.64835409160553,none
0.606,117.10738744619162,none
0.606,99.41400469148306,none
0.606,85.53430492094175,none
0.606,40.6255600970796,partial_2e
0.606,64.19689800641919,none
0.606,130.19981815475367,none
0.606,58.58664300827749,none
0.606,129.65301252920696,none
0.606,120.8548326518639,none
0.606,118.48439396923604,none
0.606,109.77061154522536,none
0.606,114.15749787585666,none
0.606,48.73196277406767,partial_2e
0.606,115.13941516126053,none
0.606,70.78630495798005,none
0.606,66.5867698072761,none
0.606,113.90306299348337,none
0.606,71.21431854301238,none
0.606,128.4206211755274,none
0.606,67.44099778695752,none
0.606,78.17896608390524,none
0.606,61.25700438715966,none
0.606,89.99055376613397,none
0.606,57.37091464908842,partial_1e
0.606,92.81337165536684,none
0.606,109.51774557137587,none
0.606,85.5468204177848,none
0.606,93.97621623599167,none
0.606,124.23357300978516,none
0.606,75.85334459924532,none
0.606,124.97737197648321,none
0.606,122.73197436623751,none
0.606,29.27143859887788,none
0.606,102.97346165488445,none
0.606,71.4967682830757,none
0.606,80.35553078828138,none
0.606,110.50419172869088,none
0.606,101.79431183603833,none
0.606,78.96621745517365,none
0.606,102.02150342954315,none
0.606,121.69851189494767,none
0.606,97.5915948710102,none
0.606,95.46461091394154,none
0.606,123.77574025408566,none
0.606,125.74312281274739,partial_1e
0.606,77.19918105223731,none
0.606,115.83864771786669,none
0.606,119.24535506483495,none
0.606,94.42245347921262,none
0.606,69.31499153161555,none
0.606,128.88912988623767,none
0.606,105.39206563742542,none
0.606,108.69699810870603,none
0.606,65.68160784916577,none
0.606,72.8680534930843,none
0.606,52.12927274789562,none
0.606,131.47179379658922,none
0.606,96.9857684205834,none
0.606,67.7868153457755,none
0.606,132.45765260665186,none
0.606,72.65455025720759,none
0.606,86.9573330087662,none
0.606,73.9588738209585,none
0.606,110.82345568572984,none
0.606,125.61910408887891,none
0.606,120.62137534859872,none
0.606,89.22347908637681,none
0.606,73.23107413166413,none
0.606,121.22940321454324,none
0.606,86.93577765595971,none
0.606,22.5152443933331,none
0.606,72.99461271870194,none
0.606,55.166728366607394,partial_1e
0.606,119.90027477377981,none
0.606,123.69074071157311,none
0.606,89.46372169094936,none
0.606,100.15204734733602,none
0.606,101.62439910500888,none
0.606,111.57769058665515,none
0.606,81.77247077852604,none
0.606,88.10962133544807,none
0.606,130.05177684696343,none
0.606,126.22508127855217,none
0.606,128.38932983467944,none
0.606,85.82012036029562,none
0.606,128.580527755943,none
0.606,64.12401078424176,none
0.606,32.306601179793745,partial_1e
0.606,60.27213402044557,none
0.606,105.37572083979309,none
0.606,64.40116082448169,none
0.606,68.22891992198691,none
