time,r_p,r_e1,r_e2
0.0,5.509804873470222,0.5714248,0.57143186
0.020748029324564987,5.509585157168347,0.5715869440425005,0.6297292124549386
0.04030978378575337,5.509377969862786,0.5814891140590183,0.7062996503876326
0.07277642614519352,5.509034029903936,0.621482412946337,0.8732376765219126
0.10524306850463366,5.508690001547272,0.6734077142920745,1.0377176381769733
0.16189232807829068,5.50808951523942,0.768371540447312,1.2709389330265422
0.23034520249866572,5.5073635559135194,0.8884574814351218,1.4837790165110147
0.32834071562906864,5.50632362084321,1.0711250493251692,1.7024773341786132
0.4263362287594715,5.50528290313284,1.2672450384353244,1.8562601444296731
0.5446575342401159,5.504025287718328,1.523085846243928,1.9878793569347348
0.8489232441246644,5.500786155068547,2.2842952903453106,2.18247072116118
1.2326619009268602,5.496690726429093,3.4749290668719794,2.2983223781346944
1.480443332397576,5.494040571294274,4.389934347721071,2.3406120426790675
1.5825472112401964,5.4929472878134105,4.801713752739187,2.3538284078506737
1.6425723443953233,5.492304242742479,5.053432978963644,2.3607170844480843
1.6970085248291764,5.491720868733946,5.2879447730189595,2.3664678972617628
2.2413703291677076,5.485876875432576,7.967552321482962,2.4053477702709216
3.1587261594726312,5.475988910806557,13.934798794611897,2.431988275612818
4.210054326547896,5.46459862796562,23.202984219199426,2.4424383818899504
5.7251808620144615,5.448075957139804,41.63708968892324,2.447454771426485
8.159512237554805,5.4212635705395815,85.78713310123841,2.449673421062868
11.691425832912463,5.3817756288259595,188.789176084111,2.4504104495689902
17.17450058607647,5.319078408701611,467.54333194568727,2.4506376631586937
26.130828904227023,5.212932956571708,1352.6655882060784,2.4506945364995163
41.77789952929339,5.015922102368881,4785.148621369765,2.4507052677770833
76.11912655887141,4.5271003340776605,26057.525289631503,2.4507067082667646
127.23985065521171,3.6253742194454888,115802.16065796184,2.4507067929007706
160.953725608097,2.877316087338809,230584.070164736,2.4507067981851534
183.75001420220602,2.2718020285686844,340196.0440425636,2.4507067993609892
199.5498826218386,1.7855320708404616,433430.2895663684,2.4507067997904057
210.9560100049301,1.3885713971773195,510221.2279831975,2.4507067999964365
220.6230608659062,1.0142797674627104,581840.222292237,2.450706800126403
229.2591847478286,0.6549882990535221,651064.0831578411,2.4507068002173575
233.7077882328716,0.4845873952725685,688693.6327814183,2.4507068002569037
237.333935403017,0.399822246354746,720370.1014927808,2.4507068002860346
238.97617275480573,0.3941154170655011,735014.4331161439,2.450706800298394
240.61841010659447,0.4120971791146742,749845.6173155945,2.4507068003102686
242.40211582500802,0.45398164639500194,766166.7932807083,2.450706800322641
246.40387931539533,0.5956816776434004,803592.3430761901,2.450706800348549
250.2378689506156,0.7533761769007781,840506.2117659347,2.450706800371175
256.58977157186433,1.0162936407914351,903968.4226670252,2.4507068004045114
263.4475846229154,1.2862677836083685,975767.7560781139,2.4507068004355164
274.72117609216144,1.6953233529246723,1101400.3174122416,2.450706800477391
291.07444446079586,2.2267699224019095,1301103.4579687943,2.450706800523012
314.3037267919007,2.8914150457543784,1622448.303323422,2.450706800567109
347.3583937359149,3.7122551701295907,2162461.0874605784,2.4507068006050083
394.6333229068614,4.71454177817589,3123474.432710638,2.4507068006333363
462.0481215102258,5.909073341905346,4937226.556296027,2.4507068006511825
557.5814309009077,7.282163584061387,8573111.005038068,2.4507068006604977
689.0901357664657,8.7494460123593,16093504.12037725,2.450706800664474
869.1662771511951,10.193086004258586,32354801.044278108,2.4507068006659316
1114.8476809057195,11.377718114345104,68834808.32887872,2.4507068006664006
1472.1966191205884,11.821629662715017,160581876.81288794,2.4507068006665405
1927.1508124796649,10.4616546987271,365186941.80373317,2.4507068006665733
2236.8738042468876,8.339988431748687,575329489.2895963,2.450706800666579
2431.5406036119302,6.623479412167517,741942460.2955562,2.4507068006665813
2593.8828264728563,5.34746240438894,903383018.6959263,2.450706800666582
2632.0572084772452,5.150260712146202,944480880.0432167,2.450706800666582
2637.9634096634854,5.124975313732556,950948967.9907753,2.450706800666582
2643.8696108497256,5.10115617467962,957446610.6179743,2.450706800666582
2702.9316227121276,4.948589830806548,1024063364.2085329,2.450706800666582
2817.5072501340824,5.12797670082891,1161989917.1258874,2.450706800666583
2938.3209679970914,5.912122237284568,1320287878.6210067,2.4507068006665835
3096.5951174465845,7.450063718986902,1548531873.055919,2.450706800666584
3108.18347471667,7.574200627852885,1566202462.3502178,2.450706800666584
3119.7718319867554,7.699293012985292,1584006493.5658245,2.450706800666584
3235.65540468761,8.985463925850757,1769495325.1333933,2.450706800666584
3504.7533067565323,11.998060312776808,2254672862.406737,2.4507068006665844
3791.819832986328,15.021607812531077,2861988880.001501,2.4507068006665844
4197.337127132046,18.88465560236299,3892573321.861917,2.4507068006665844
4954.659637210812,25.07131201705435,6429046501.165114,2.4507068006665844
6007.929595877434,32.16001289634294,11515158383.149155,2.4507068006665844
7457.269300367802,40.106779321075145,22132415577.08387,2.4507068006665844
9488.107326518748,49.07830067200425,45835756029.87963,2.4507068006665844
12281.729117082807,58.924420254992334,99961219368.68596,2.4507068006665844
15949.905228427117,69.23882448004284,220040756569.39444,2.4507068006665844
21500.710358735807,81.60363681384091,541658977728.90967,2.4507068006665844
25000.0,88.1331734486641,853342663552.7931,2.4507068006665844
