E_initial,L_initial,type
0.5,104.17338005644763,double
0.5,111.01605887701484,double
0.5,92.28734404999668,double
0.5,92.55205079444752,none
0.5,105.71550360884999,double
1.125,102.16238278315365,none
1.125,113.38887920004073,none
1.125,166.25623521932962,none
1.125,122.47206392681257,none
1.125,49.74557932813801,none
1.75,81.8327017144761,none
1.75,53.241236690929675,none
1.75,103.8893829419246,none
1.75,96.53305579029573,none
1.75,140.10563348959346,none
2.375,83.35193190747087,none
2.375,89.88347592484399,none
2.375,241.20404044404896,none
2.375,199.4384639395452,none
2.375,126.24907337038897,none
3.0,109.49665610218352,none
3.0,18.39148987533428,none
3.0,184.6540608905779,none
3.0,225.51010024420455,none
3.0,234.70594456741227,none
