electron,r_mean,r_std,p_mean,p_std
1,0.3508085844350366,0.0028326109936705657,2.727353443215637,0.02246193834964243
2,0.3667705562616266,0.003341277432770617,2.599953427977209,0.024308766399076285
3,1.5095736204387302,0.019476674015170985,0.6420237903334691,0.010330539367617625
atom,E_mean,E_std
total_time,25000.0
component,mean,std
Kinetic,7.306468821388419,0.0848828186268109
Electron-Nucleus,-18.720055552467873,0.10513293441145984
Electron-Electron,2.6766295108147298,0.020659868599772507
Heisenberg,0.6976698546876257,0.022309342006322303
Pauli,0.01810344912114989,0.003208242973014535
Total Energy,-8.021183916455948,0.0010808796080271513
